Model,Approach,Accuracy,F1 (weighted),F1 (macro),Parameters
R(2+1)D-18,Video pixels,0.9409627611262489,0.9411092920620785,0.9184014867706137,
BiGRU,Landmark seq,0.888283378746594,0.8876182510169393,0.8437585379798445,2988941.0
BiLSTM,Landmark seq,0.8773841961852861,0.8761391271120692,0.8372242239710688,674701.0
SVM RBF,Landmark stats,0.8474114441416893,0.8477551259042819,0.7722633647263482,
SVM linear,Landmark stats,0.8446866485013624,0.8452143977206455,0.7622835698446918,
GRU,Landmark seq,0.8483197093551317,0.8444259615197252,0.7717719826482529,206477.0
Random Forest,Landmark stats,0.8029064486830154,0.7998797840208172,0.7074558987392864,
LSTM,Landmark seq,0.8047229791099001,0.7987248934717446,0.7198131804200223,272269.0
KNN,Landmark stats,0.6866485013623979,0.6743086451003326,0.5841162176050498,
3D CNN scratch,Video pixels,0.5576748410535877,0.5542270922871176,0.5606187380455998,
